,date,er_close,er_close_ma5,er_close_ma5_ratio,er_close_ma20,er_close_ma20_ratio,er_close_ma60,er_close_ma60_ratio,er_close_ma120,er_close_ma120_ratio
0,20160502,1137.8,,,,,,,,
1,20160503,1140.2,,,,,,,,
2,20160504,1154.3,,,,,,,,
3,20160509,1165.8,,,,,,,,
4,20160510,1172.6,1154.14,0.015994593,,,,,,
5,20160511,1167.6,1160.1,0.00646496,,,,,,
6,20160512,1162.6,1164.58,-0.001700184,,,,,,
7,20160513,1171.4,1168,0.002910959,,,,,,
8,20160516,1179.7,1170.78,0.007618852,,,,,,
9,20160517,1173.7,1171,0.002305722,,,,,,
10,20160518,1182.6,1174,0.007325383,,,,,,
11,20160519,1191.7,1179.82,0.010069333,,,,,,
12,20160520,1190.2,1183.58,0.0055932,,,,,,
13,20160523,1182.9,1184.22,-0.001114658,,,,,,
14,20160524,1192.7,1188.02,0.003939328,,,,,,
15,20160525,1182.5,1188,-0.00462963,,,,,,
16,20160526,1180.4,1185.74,-0.004503517,,,,,,
17,20160527,1179.3,1183.56,-0.003599311,,,,,,
18,20160530,1191.8,1185.34,0.005449913,,,,,,
19,20160531,1191.7,1185.14,0.005535211,1174.575,0.014579742,,,,
20,20160601,1193,1187.24,0.004851589,1177.335,0.013305474,,,,
21,20160602,1186.6,1188.48,-0.001581852,1179.655,0.005887315,,,,
22,20160603,1183.6,1189.34,-0.004826206,1181.12,0.002099702,,,,
23,20160607,1162.7,1183.52,-0.017591591,1180.965,-0.015466165,,,,
24,20160608,1156.6,1176.5,-0.016914577,1180.165,-0.019967547,,,,
25,20160609,1156,1169.1,-0.011205201,1179.585,-0.01999432,,,,
26,20160610,1165.5,1164.88,0.000532244,1179.73,-0.012062082,,,,
27,20160613,1173.4,1162.84,0.009081215,1179.83,-0.005449938,,,,
28,20160614,1173.2,1164.94,0.007090494,1179.505,-0.005345463,,,,
29,20160615,1173.3,1168.28,0.004296915,1179.485,-0.005243814,,,,
30,20160616,1171.4,1171.36,3.41E-05,1178.925,-0.006382934,,,,
31,20160617,1172.7,1172.8,-8.53E-05,1177.975,-0.004478024,,,,
32,20160620,1160.8,1170.28,-0.008100625,1176.505,-0.01334886,,,,
33,20160621,1156.6,1166.96,-0.008877768,1175.19,-0.015818719,,,,
34,20160622,1154.4,1163.18,-0.007548273,1173.275,-0.016087448,,,,
35,20160623,1150.2,1158.94,-0.007541374,1171.66,-0.018315894,,,,
36,20160624,1179.9,1160.38,0.016822076,1171.635,0.007054245,,,,
37,20160627,1182.3,1164.68,0.015128619,1171.785,0.008973489,,,,
38,20160628,1171.3,1167.62,0.00315171,1170.76,0.000461239,,,,
39,20160629,1160.2,1168.78,-0.007340988,1169.185,-0.00768484,,,,
40,20160630,1151.8,1169.1,-0.014797708,1167.125,-0.013130556,,,,
41,20160701,1145,1162.12,-0.014731697,1165.045,-0.017205344,,,,
42,20160704,1146.9,1155.04,-0.007047375,1163.21,-0.014021544,,,,
43,20160705,1155.4,1151.86,0.00307329,1162.845,-0.006402401,,,,
44,20160706,1165.6,1152.94,0.010980623,1163.295,0.001981441,,,,
45,20160707,1154.6,1153.5,0.000953619,1163.225,-0.007414731,,,,
46,20160708,1161.8,1156.86,0.00427018,1163.04,-0.001066171,,,,
47,20160711,1146.7,1156.82,-0.00874812,1161.705,-0.01291636,,,,
48,20160712,1148,1155.34,-0.006353108,1160.445,-0.010724334,,,,
49,20160713,1146.4,1151.5,-0.004429006,1159.1,-0.010956777,,,,
50,20160714,1137.4,1148.06,-0.009285229,1157.4,-0.017280111,,,,
51,20160715,1133.9,1142.48,-0.007509978,1155.46,-0.018659235,,,,
