,date,open,high,low,close
0,20160502,"1,142.00","1,145.80","1,136.20",1137.801137.801137.801137.801137.801137.801137.801137.801137.801137.80
1,20160503,"1,137.00","1,140.80","1,133.10",1140.201140.201140.201140.201140.201140.201140.201140.201140.201140.20
2,20160504,"1,150.50","1,155.30","1,149.30",1154.301154.301154.301154.301154.301154.301154.301154.301154.301154.30
3,20160509,"1,166.20","1,167.50","1,162.30",1165.801165.801165.801165.801165.801165.801165.801165.801165.801165.80
4,20160510,"1,175.00","1,175.70","1,172.30",1172.601172.601172.601172.601172.601172.601172.601172.601172.601172.60
5,20160511,"1,170.00","1,172.30","1,165.30",1167.601167.601167.601167.601167.601167.601167.601167.601167.601167.60
6,20160512,"1,165.50","1,166.80","1,161.40",1162.601162.601162.601162.601162.601162.601162.601162.601162.601162.60
7,20160513,"1,169.00","1,172.60","1,165.80",1171.401171.401171.401171.401171.401171.401171.401171.401171.401171.40
8,20160516,"1,178.00","1,180.40","1,177.10",1179.701179.701179.701179.701179.701179.701179.701179.701179.701179.70
9,20160517,"1,177.50","1,177.50","1,171.20",1173.701173.701173.701173.701173.701173.701173.701173.701173.701173.70
10,20160518,"1,180.00","1,183.00","1,177.80",1182.601182.601182.601182.601182.601182.601182.601182.601182.601182.60
11,20160519,"1,190.50","1,192.40","1,187.80",1191.701191.701191.701191.701191.701191.701191.701191.701191.701191.70
12,20160520,"1,188.00","1,190.60","1,185.60",1190.201190.201190.201190.201190.201190.201190.201190.201190.201190.20
13,20160523,"1,185.00","1,185.10","1,181.40",1182.901182.901182.901182.901182.901182.901182.901182.901182.901182.90
14,20160524,"1,184.10","1,192.75","1,183.50",1192.701192.701192.701192.701192.701192.701192.701192.701192.701192.70
15,20160525,"1,188.00","1,190.50","1,181.00",1182.501182.501182.501182.501182.501182.501182.501182.501182.501182.50
16,20160526,"1,180.80","1,184.80","1,177.80",1180.401180.401180.401180.401180.401180.401180.401180.401180.401180.40
17,20160527,"1,179.50","1,181.70","1,177.50",1179.301179.301179.301179.301179.301179.301179.301179.301179.301179.30
18,20160530,"1,187.30","1,192.50","1,186.90",1191.801191.801191.801191.801191.801191.801191.801191.801191.801191.80
19,20160531,"1,189.00","1,193.30","1,187.90",1191.701191.701191.701191.701191.701191.701191.701191.701191.701191.70
20,20160601,"1,191.00","1,195.60","1,188.20",1193.001193.001193.001193.001193.001193.001193.001193.001193.001193.00
21,20160602,"1,194.00","1,194.00","1,185.20",1186.601186.601186.601186.601186.601186.601186.601186.601186.601186.60
22,20160603,"1,187.00","1,189.50","1,182.80",1183.601183.601183.601183.601183.601183.601183.601183.601183.601183.60
23,20160607,"1,164.00","1,166.00","1,161.30",1162.701162.701162.701162.701162.701162.701162.701162.701162.701162.70
24,20160608,"1,156.90","1,158.60","1,153.40",1156.601156.601156.601156.601156.601156.601156.601156.601156.601156.60
25,20160609,"1,154.00","1,160.50","1,151.30",1156.001156.001156.001156.001156.001156.001156.001156.001156.001156.00
26,20160610,"1,161.00","1,165.90","1,159.70",1165.501165.501165.501165.501165.501165.501165.501165.501165.501165.50
27,20160613,"1,170.00","1,174.30","1,170.00",1173.401173.401173.401173.401173.401173.401173.401173.401173.401173.40
28,20160614,"1,173.00","1,173.70","1,170.70",1173.201173.201173.201173.201173.201173.201173.201173.201173.201173.20
29,20160615,"1,176.00","1,180.00","1,173.10",1173.301173.301173.301173.301173.301173.301173.301173.301173.301173.30
30,20160616,"1,168.50","1,172.50","1,167.40",1171.401171.401171.401171.401171.401171.401171.401171.401171.401171.40
