date,open,high,low,close,close_ma5,close_ma20,close_ma60,close_ma120
2016.7.11,706.39,711.54,706.38,708.9,687.57,688.22,675.4,653.92
2016.7.12,715.93,720.3,714.75,718.36,696.74,689.37,676.15,655.08
2016.7.13,720.74,723.27,717.7,718.9,705.81,690.54,676.9,656.18
2016.7.14,724.68,726.09,719.45,724.23,714.29,692.01,677.87,657.23
2016.7.15,723.15,724.82,721.03,723.64,718.81,693.45,678.73,658.34
2016.7.18,732.63,735.74,731.85,734.54,723.93,695.72,679.85,659.5
2016.7.19,732.28,733.61,729.8,731.78,726.62,697.46,680.89,660.69
2016.7.20,735.52,745.46,733.94,743.74,731.59,699.67,682.2,662
2016.7.21,744.4,744.72,735.32,738.3,734.4,701.68,683.26,663.04
2016.7.22,735.5,742.47,731.53,742.37,738.15,702.96,684.28,664.08
2016.7.25,744.49,747.66,743.81,746.44,740.53,706.51,685.68,665.34
2016.7.26,754.97,778.72,754.93,774.92,749.15,712.84,687.84,666.82
2016.7.27,781.11,782.14,770.83,774.93,755.39,718.3,689.91,668.21
2016.7.28,770.75,775.82,767.16,770.52,761.84,722.86,692.05,669.75
2016.7.29,772.01,772.85,763.82,766.78,766.72,726.62,694.24,671.38
2016.8.1,768.13,770.83,765.36,768.02,771.03,730.77,696.43,673.05
2016.8.2,765.67,765.81,751.43,755.73,767.2,734.93,698.4,674.65
2016.8.3,751.31,756.53,751.14,756.53,763.52,739.08,700.4,676.29
2016.8.4,758.09,763.75,757.3,763.58,762.13,743.16,702.39,677.89
2016.8.5,767.38,774.05,767.38,773.78,763.53,746.8,704.58,679.4
2016.8.8,775.29,777.72,771.07,772.44,764.41,749.98,706.94,680.79
2016.8.9,776.42,780.99,776.17,778.78,769.02,753,709.37,682.26
2016.8.10,779.62,779.62,769.93,772.82,772.28,755.69,711.53,683.65
2016.8.11,774.87,777.27,772.04,776.26,774.82,758.29,713.82,685
2016.8.12,777.77,781.29,776.58,779.84,776.03,761.1,715.99,686.46
2016.8.15,782.82,792.31,782.51,790.44,779.63,763.9,718.42,687.93
2016.8.16,787.88,788.75,783.96,784.61,780.79,766.54,720.41,689.29
2016.8.17,784.41,785.01,780.4,784.61,783.15,768.58,722.33,690.63
2016.8.18,785.46,790.16,784.68,790.16,785.93,771.18,724.07,692.03
2016.8.19,792.02,798.85,790.84,797.06,789.38,773.91,725.86,693.34
2016.8.22,794.81,799.46,793.86,797.29,790.75,776.45,727.63,694.62
2016.8.23,802.09,804.69,800.73,801.31,794.09,777.77,729.39,695.93
2016.8.24,801.12,802.48,791.98,794.34,796.03,778.74,730.97,697.13
2016.8.25,796.1,801.02,794.67,797.47,797.49,780.09,732.54,698.34
2016.8.26,799.51,807.11,795.65,801.4,798.36,781.82,734.17,699.7
2016.8.29,803.18,806.81,802.71,803.62,799.63,783.6,735.81,701.03
